公司代號,公司簡稱,產業排位,2026實力指標,族群細分類 - 規格與應用導向,關鍵技術 / 產能指標 / 報價變量
3034,聯詠,全球顯示驅動 IC (DDI) 龍頭,全球市佔第一，2026 年在 OLED DDI 與車用驅動 IC 排位最高。,驅動 IC (DDI) / SoC / OLED,顯示驅動技術、觸控與顯示整合 (TDDI)、奈米製程節點
3035,智原,台灣 ASIC 設計服務前三 / 成熟製程 IP 龍頭,聯電體系核心，2026 年轉型切入 2.5D/3D 先進封裝設計。,ASIC 設計服務 / IP 授權 / SoC,先進封裝整合 (2.5D/3D)、成熟製程轉向、NRE 委案量
3036,文曄,全球最大電子元件通路商之一,收購 Future Electronics 後，晉升全球前二、亞洲第一。,電子通路 (全球第三) / 半導體代理,合併 Future 後的規模效益、代理 TI/Intel、融資利率變動
3037,欣興,全球 IC 載板龍頭 ,ABF 載板全球市佔第一，先進封裝 HBM 載板核心供應商。,IC 載板 (ABF/BT) / 高階 PCB / HDI,ABF 載板層數 (High Layer)、先進封裝載板良率、產能預約
3038,全台,,,中小尺寸顯示模組 / 觸控面板,工控與醫療顯示器規格、觸控貼合技術、E-paper 應用
3040,遠見,,,電子商務 / 翻譯辭典 (哈佛) / 房產,數位學習內容、哈佛辭典品牌、兩岸房產租賃資產
3041,揚智,,,機上盒 (STB) IC / 影音處理 SoC,數位廣播系統晶片、低功耗影音解碼、利基型市場市佔
3042,晶技,全球石英頻率元件龍頭,全球市佔第一，高精度石英晶體在 AI 與車用領域排位最高。,石英元件 (Crystal) / 震盪器 / 頻率,微型化技術 (1008規格)、高頻低震動規格、車用與 5G 應用
3043,科風,,,不斷電系統 (UPS) / 太陽能逆變器,電源轉換效率、備用電池管理、中小功率 UPS 規格
3044,健鼎,全球高階 PCB 排位前三,記憶體、伺服器與汽車 PCB 產能全球領先。,高階 PCB / 伺服器板 / 車用板,多層板 (MLB) 技術、HDI 產能、DRAM 模組板市佔
3045,台灣大,台灣電信三雄之一 / 雲端通路龍頭,旗下 momo 為台灣最大 B2C 電商，電信整合排位極前。,電信服務 / 電商 (momo) / 5G 頻譜,5G 用戶 ARPU、momo 倉儲自動化、雲端/資安營收
3046,建碁,,,工業電腦 / 充電樁控制 / 數位看板,寬溫級主機、EV 充電站營運系統、AOPEN 品牌
3047,訊舟,,,網通設備 / 無線路由器 / 雲端監測,Wi-Fi 7 技術、空氣品質感測器、中小企業網路方案
3048,益登,,,電子零組件代理 / 半導體通路,代理 Skyworks/NVIDIA、技術支援能力、庫存周轉率
3049,精金,,,觸控感應器 / OLED 封裝 / 濾光片,柔性觸控技術、OLED 減薄加工、車載顯示規格
3050,鈺德,,,預錄光碟 / 數位文創 / 綠能,乙烯基唱片製造、長照/飯店轉投資、太陽能案場
3051,力特,,,偏光板 / 車用顯示 / 特殊薄膜,高耐溫偏光片、染料系偏光技術、車載顯示良率
3052,夆典,,,營建開發 / 水利工程 / 機械貿易,工業區開發統包、預拌混凝土供料、BOT 案場認列進度
3054,立萬利,,,生技代理 / 營養保健 / 電子遺留資產,益生菌配方、連鎖通路代理、集團內部資源整合
3055,蔚華科,,,半導體測試設備 / 探針卡 / 代理,先進封裝測試解決方案、高頻探針技術、SiC/GaN 檢測
3056,富華新,,,營建開發 / 台中造鎮 / 房地產,(原總太) 品牌升級後案場、台中十四期開發、完工入帳週期
3057,喬鼎,,,多媒體儲存 (RAID) / 雲端備援,磁碟陣列控制器、4K/8K 影像編輯存儲、私有雲架構
3058,立德,,,電源供應器 / 充電樁 / 變壓器,高頻變壓器規格、車用快充模組、能源管理系統
3059,華晶科,,,影像處理 IC / 醫療內視鏡 / 車載鏡頭,AI 影像演算、拋棄式內視鏡技術、3D 感測系統
3060,銘異,,,硬碟機構件 / 精密模具 / 微機電,硬碟音圈馬達 (VCM)、微機電系統 (MEMS) 封裝
3062,建漢,,,網通設備 (鴻海體系) / 衛星通訊,5G O-RAN 設備、低軌衛星地面站、WiFi 寬頻接入
3090,日電貿,台灣被動元件通路龍頭,代理全球大廠 (如全球第一的黑金剛)，排位全台第一。,被動元件代理 / 電解電容 / MLCC,全台最大代理商、代理 Nippon Chemi-Con/Panasonic
3092,鴻碩,,,連接線材 / 顯示訊號線 / 車用線束,HDMI/DisplayPort 規格、充電樁線纜、自動化抽線
3094,聯傑,,,乙太網路 IC / 嵌入式 SoC / 物聯網,工業乙太網技術、電子紙控制晶片、低功耗傳輸
3130,一零四,台灣線上人力資源服務龍頭,台灣求職市場絕對壟斷排位，具備數據定義權。,人力資源平台 / 雲端 HR 系統,數據分析引擎、企業端招聘工具、中高階獵才服務
3135,凌航,,,記憶體模組 / 工控儲存 / 封測代理,工規記憶體 (DRAM/SSD) 寬溫技術、客製化韌體、金士頓體系
3138,耀登,,,天線技術 / 5G 毫米波 / 測試認證,陣列天線 (Array Antenna)、低軌衛星地面站、SAR 測試服務
3149,正達,,,玻璃加工 / 3D 玻璃 / 建築玻璃,玻璃薄化技術、車載大曲面玻璃、抗反射 (AR) 鍍膜
3150,鈺寶-創,,,無線音訊 SoC / 2.4GHz 傳輸 / 藍牙,低延遲無線傳輸技術、智慧音箱模組、數位音訊處理 (DSP)
3164,景岳,,,功能性益生菌 / 生技研發 / OEM,抗過敏/代謝調節菌株、藥廠級發酵槽、認證規格
3167,大量,,,PCB 成型機 / 半導體研磨設備 / 鑽孔,精密 CNC 加工技術、CMP 研磨墊調節器、自動化光學檢測
3168,眾福科,,,航海顯示器 / 工規面板 / 戶外高亮度,耐候性封裝技術、1000 nits+ 高亮度規格、專業船舶導航
3189,景碩,全球 IC 載板主要廠商,BT 載板市佔領先，記憶體與手持裝置載板排位前三。,IC 載板 (ABF/BT) / 先進封裝 / SiP,載板層數 (Layer)、BT 載板手機佔比、ABF 產能利用率
3209,全科,,,電子零組件代理 / 網通 IC / 語音處理,代理 Broadcom/Cirrus Logic、技術支援 (FAE) 廣度
3229,晟鈦,,,PCB 製造 / 磷酸鋰鐵電池 / 儲能,特殊 PCB 板材、儲能系統 (ESS) 循環壽命、電池組裝規格
3231,緯創,全球 AI 伺服器基板 (GPU Baseboard) 龍頭,Nvidia H100/B100 基板主力供應商。,AI 伺服器組裝 / GPU 基板 / 數位轉型,GPU 模組 (L6) 良率、液冷機櫃整合、伺服器主機板 (L10)
3257,虹冠電,,,電源管理 IC / 同步整流 / 功率元件,高壓大電流電源技術、同步整流 (SR) 控制、AC/DC 轉換
3266,昇陽,,,營建開發 / 都市更新 / 資產重估,台北市精華區都更案、建案單價、土地儲備價值
3296,勝德,,,電源保護組件 / 智慧家居 / 節能,電湧保護技術、智慧插座物聯網協定、防護級別規格
3305,昇貿,全球前三大焊錫材料供應商,台灣最大錫膏廠，低溫焊錫技術全球排位領先。,焊錫材料 (Solder) / 錫膏 / 綠能,低溫焊錫技術 (LTS)、半導體級錫膏、國際錫價波動
3308,聯德,,,電源供應器 / 家電與工業控制 / 組裝,高效率電源轉換、PC/Server 電源、自動化生產線
3311,閎暉,,,汽車零組件 / 3D 玻璃 / 按鍵模組,車用機構件、內裝飾板技術、多腔模具精密成型
3312,弘憶股,,,電子通路 / 代理 (Realtek) / 運算租賃,AI 算力服務擴展、網通晶片代理、存貨週轉率
3321,同泰,,,軟性電路板 (FPC) / LED 燈條 / RFID,捲對捲 (R2R) 生產、多層軟板技術、車載照明規格
3338,泰碩,,,散熱模組 / 均熱板 (VC) / 車用散熱,伺服器水冷板、VC 壓鑄技術、中控台散熱解決方案
3346,麗清,,,LED 車燈模組 / 散熱 / 驅動,車用 LED 顆數規格、控制器封裝、中國燃油/電車滲透率
3356,奇偶,,,安全監控 / AI 影像辨識 / 雲端平台,邊緣運算 (AI Camera)、雲端監控軟體 (VMS)、NDAA 合規
3376,新日興,全球筆電與折疊裝置軸承龍頭,高階筆電與折疊手機、穿戴裝置軸承排位全球第一。,摺疊裝置轉軸 (Hinge) / MIM / 穿戴,雙軸連動技術、金屬粉末射出成型、MacBook/摺疊機規格
3380,明泰,,,網通設備 / 5G O-RAN / 數位微波,400G/800G 交換器、低軌衛星用戶端設備、代工市佔
3406,玉晶光,全球 VR/AR 透鏡與手機鏡頭前二,Meta 與 Apple 鏈核心供應商，潛望式鏡頭排位領先。,高階光學鏡頭 / VR 光學 / 潛望式,塑膠鏡頭良率 (6P/7P)、AR/VR Pancake 透鏡、Apple 鏈
3413,京鼎,全球半導體薄膜與刻蝕設備代工龍頭,美商應用材料 (AMAT) 核心夥伴，排位全球領先。,半導體設備製造 / 腔體加工 / 代理,半導體製程模組、應用材料 (Applied Materials) 供應鏈
3416,融程電,全球高階工業防爆平板電腦龍頭,專注化學、油氣田防爆平板，利基市場排位全球第一。,強固型平板 (Rugged) / 工業電腦 / 醫療,IP65/MIL-STD-810G 認證、防爆規格、車檢與倉儲終端
3419,譁裕,,,天線技術 / 基地台天線 / 衛星通訊,4G/5G 多頻天線、微波通訊組件、基地台收發規格
3432,台端,,,連接器 / 端子 / 電子組件代理,精密連接器加工、I/O 接口規格、電子零件周轉率
3437,榮創,,,LED 封裝 / Mini LED / 背光模組,窄邊框封裝技術、車載 Mini LED 規格、群創/鴻海體系
3443,創意,台灣 ASIC 設計服務龍頭,台積電核心夥伴，掌握 HBM 控制器 與先進封裝 IP。,ASIC 設計服務 / IP 授權 / 先進封裝,N3/N5 製程 Turnkey、HBM 物理層 IP、台積電 VCA 體系
3447,展達,,,網通設備 / 智慧家居 / 寬頻終端,數位家庭網關、LTE/5G 接入設備、網通產品組裝
3450,聯鈞,全球雷射光通訊封測領導廠,CPO (共封裝光學) 與矽光子封測排位全球領先。,光通訊封裝 / 矽光子 (SiPh) / EML,CPO 封裝技術、高頻雷射二極體、光傳輸損耗 (dB)
3454,晶睿,台灣安控影像監控龍頭,NDDA (非中資) 供應鏈首選，全球安控排位前十、台灣第一。,安全監控 (IP Cam) / AI 影像分析,邊緣運算 (SOC)、NDAA 合規市佔、雲端訂閱 VAST
3481,群創,,,面板製造 / FOPLP (封裝) / 車載,扇出型面板級封裝、LTPS 面板良率、TV 面板報價
3494,誠研,,,相片印表機 / 昇華熱轉印 / 消費電子,熱昇華耗材規格、雲端沖印 App、手持列印設備
3501,維熹,,,電源線束 / 充電樁線組 / 家電,特斯拉 NACS 規格、高電流承載力、銅價連動性
3504,揚明光,,,微投影光學 / VR 透鏡 / 車載投影,玻璃非球面鏡頭、Pancake 透鏡良率、DLP 顯示技術
3515,華擎,,,伺服器組裝 / AI 運算節點 / 主機板,L10 伺服器組裝、GPU 基板技術、永道 (ASRock Rack) 品牌
3518,柏騰,,,真空鍍膜 / 筆電外殼 / 電磁干擾 (EMI),PVD 真空濺鍍、NB 機殼外觀處理、防干擾規格
3528,安馳,,,工業電腦 (IPC) / 醫療平板 / 零售,嵌入式單板電腦 (SBC)、智慧床邊系統、物聯網閘道
3530,晶相光,,,CMOS 感測器 (CIS) / 安控 / 車載,近紅外線增強 (NIR)、捲簾快門技術、低照度顯像
3532,台勝科,台灣 12 吋矽晶圓大廠 / 亞洲前三,日本勝高 (SUMCO) 體系，台灣 12 吋矽晶圓技術排位極前。,矽晶圓 (Silicon Wafer) / 12 吋 / 8 吋,磊晶圓 (Epi) 成長技術、長晶爐產能、現貨/長約價
3533,嘉澤,全球 CPU 插槽 (Socket) 龍頭,全球市佔前二，與鴻海 (Foxconn) 壟斷 Intel/AMD CPU 插槽規格。,連接器 (Socket) / 伺服器 / CPU,LGA 插槽規格、高頻信號完整性、Intel/AMD 滲透率
3535,晶彩科,,,自動光學檢測 (AOI) / 面板與封裝,AI 缺陷辨識演算法、微型 LED 檢測、檢測節拍 (Takt)
3543,州巧,,,精密金屬沖壓 / 背光板機構 / 家具,導光板框架技術、高精度模具開發、系統家具組件
3545,敦泰,,,驅動 IC (TDDI) / 觸控 / OLED,觸控與顯示整合技術、AMOLED 驅動、手機指紋辨識
3550,聯穎,,,電子連接線 / 高頻傳輸 / 資訊,高清影音線材 (HDMI 2.1)、USB 4.0 規格、抽線工法
3557,嘉威,,,光學膜 (增亮膜) / 廚具貿易 / 環保,聚光片 (Prism Sheet) 塗佈、環保餐具 R-PET 應用
3563,牧德,全球 PCB 光學檢測 (AOI) 前三,成功跨入半導體先進封裝 (CoWoS) 檢測設備。,PCB 檢測設備 / 半導體 AOI / 先進封裝,3D 自動光學檢測、封裝載板檢測、日月光戰略合作
3576,聯合再生,,,太陽能模組 / 系統工程 (EPC) / 儲能,TOPCon 電池效率、案場開發規模、儲能系統整合
3583,辛耘,台灣半導體濕製程設備龍頭,CoWoS 濕製程設備全球主要供應商。,半導體設備 / 濕製程 / 再生晶圓,CoWoS 濕製程設備、單晶圓清洗機、晶圓再生產能
3588,通嘉,,,電源管理 IC (PWM) / 快充 / 節能,高頻主動鉗位 (ACF)、USB-PD 控制器、GaN 驅動
3591,艾笛森,,,LED 封裝 / 車用成品 / 照明,PLCC 封裝技術、車用霧燈/晝行燈模組、散熱管理
3592,瑞鼎,全球顯示驅動 IC (DDI) 領先者,AMOLED 驅動 IC 技術排位全球前三、台灣前二。,驅動 IC (DDI) / 時序控制 (T-CON),大尺寸 OLED 驅動、車載顯示 SoC、高刷新率技術
3593,力銘,,,電源模組 / 變壓器 / 被動元件,高壓變壓器繞線、電源轉換模組、面板背光電源
3596,智易,,,網通設備 (IAD) / 5G CPE / Wi-Fi 7,整合存取設備、移動寬頻閘道、電信商客製化韌體
3605,宏致,,,連接器 / 精密組件 / 車用與高速,高速傳輸接頭、伺服器內部線纜、自動化沖壓件
3607,谷崧,,,精密塑膠模具 / 聲學組件 / 消費電子,多料共射技術、3C 機構件良率、聲學驅動器規格
3617,碩天,,,不斷電系統 (UPS) / 電源管理 / 資料中心,自有品牌 (CyberPower)、BMS 均衡技術、雲端電力監測
3622,洋華,,,觸控面板 / 機電設備 / 重電電纜,壓力感應技術、超高壓電纜附件、綠能配電設備
3645,達邁,,,聚醯亞胺薄膜 (PI) / 軟板基材 / 散熱,高頻低損耗 PI、人工石墨片前驅體、化學耐性規格
3652,精聯,,,自動辨識 (AIDC) / 工規行動電腦 / 標籤,RFID 讀取技術、軍規 IP67 認證、行動數據終端系統
3653,健策,全球均熱片 (Heat Spreader) 龍頭,全球市佔第一，伺服器與車用高階均熱片排位無可取代。,散熱扣件 (Lid) / 均熱片 / 導線架,鍛造加工精度、高效能伺服器散熱片、高瓦數散熱解方
3661,世芯-KY,全球高階 ASIC 設計服務龍頭,7nm/5nm 先進製程設計市佔前二，美系大廠 AI 晶片核心合作夥伴。,ASIC 設計服務 / AI 算力 / 先進製程,N3/N5 製程、CoWoS 封裝設計、北美國際雲端大廠委案
3665,貿聯-KY,全球高階連接線束領導廠,特斯拉 (Tesla) 與 AI 伺服器電源線束排位全球頂尖。,高效能連接線束 / 車用 / 半導體設備,高壓線束封裝、半導體測試機內部線、數據中心高速線
3669,圓展,,,視訊會議系統 / 簡報攝影機 / AI 追蹤,自動對焦演算法、4K 雲端攝影機、遠距教學軟體整合
3673,TPK-KY,,,觸控模組 / 奈米銀 (SNW) / 光電,超大尺寸觸控技術、折疊式面板貼合、車用曲面玻璃
3679,新至陞,,,精密模具 / 雙料射出 / 穿戴裝置,表面裝飾技術 (IMD)、耳機/智慧家庭機構、醫療器材
3686,達能,,,太陽能多晶矽 / 綠能投資 / 能源管理,矽碇加工效率、電廠系統併網、再生能源案場開發
3694,海華,,,無線通訊模組 / Wi-Fi 7 / 影像處理,SiP 封裝微型化、物聯網傳輸協定、高傳輸低延遲規格
3701,大眾控,,,系統整合 (SI) / 車載抬頭顯示器 (AR-HUD),三維擴增實境影像、工業電腦、綠能管理平台
3702,大聯大,全球最大電子元件通路商,全球市佔第一，具備最強大的供應鏈調度與財務排位權。,半導體通路龍頭 / 物流整合 / 加值服務,供應鏈金融、全方位代理產品線、VMI 庫存管理
3703,欣陸,,,營建開發 / 營造工程 / 環境工程,欣陸投控 (大陸工程)、盾構隧道技術、廢水處理 BOT
3704,合勤控,,,網通設備 / 資安 / 寬頻終端,(校正：同 3419 體系，聚焦 Wi-Fi 7 與電信標案)
3705,永信,,,學名藥 / 藥品製造 (HCP) / 醫藥,PIC/S GMP 認證、自動化藥錠包裝、海外藥廠併購
3706,神達,,,伺服器製造 / 車用導航 / 邊緣運算,神雲伺服器、MiTAC 品牌、智慧車聯網解決方案
3708,上緯投控,,,風電葉片樹脂 / 環保材料 / 碳纖維,可回收熱固性樹脂、離岸風電材料供應、環保防腐技術
3711,日月光投控,全球半導體封測 (OSAT) 絕對龍頭,全球市佔第一，先進封裝與系統級封裝 (SiP) 。,封測代工龍頭 / 先進封裝 / SiP,FOCoS/CoWoS 技術、系統級封裝規模、全球最大產能
3712,永崴投控,,,能源投資 / 通訊製造 / 綠能整合,世芯/森崴資源整合、再生能源開發、通訊零組件
3714,富采,全球高階 LED 與感測技術領導廠,Micro LED 與車用照明技術排位亞洲領先。,LED 投控 / Mini LED / Micro LED,晶電/隆達資源整合、車用背光規格、先進顯示技術
3715,定穎投控,,,PCB 製造 / 車載板 / 自動化,高階多層板、自駕系統 HDI、泰國廠產能配置
3716,中化控股,,,醫藥投控 / 學名藥 / 健康服務,垂直整合製藥鏈、藥品通路覆蓋率、集團採購綜效
3717,聯嘉投控,,,車用 LED 光源 / 模組 / 智慧路燈,Uniflex 專利封裝、車廠一階 (Tier 1) 認證、Micro LED 開發
4104,佳醫,,,醫療通路 / 洗腎設備 / 醫美,全台洗腎中心覆蓋率、醫藥物流配送、設備維護合約
4106,雃博,,,醫材製造 / 氣墊床 / 呼吸治療,傷口護理系統 (PAC)、睡眠呼吸暫停 (OSA) 解決方案
4108,懷特,,,新藥研發 / 植物新藥 / 癌症輔助,懷特血寶 (PG2) 臨床進度、專利授權、健保給付狀況
4119,旭富,,,原料藥 (API) / CDMO / 抗癲癇,藥物中間體合成、cGMP 產能利用率、火災後復工產能
4133,亞諾法,,,抗體研發 / 體外診斷 (IVD) / 試劑,抗體庫規模、奈米顆粒包覆技術、精準醫療檢測
4137,麗豐-KY,,,美容連鎖 (克麗緹娜) / 通路 / 保養品,中國加盟店數、電商轉化率、品牌權益 (Brand Equity)
4142,國光生,台灣流感疫苗生產龍頭,台灣唯一具備 WHO 認證與流感疫苗外銷排位之廠商。,疫苗製造 / 流感疫苗 / CDMO,病毒培養技術、WHO 流感病毒株配對、生物反應器規模
4148,全宇生技-KY,,,生物複合肥料 / 農業科技 / 油棕,內生真菌技術、馬來西亞油棕市場滲透、農業循環經濟
4155,訊映,,,血糖監測系統 / 試片 / 居家醫療,酵素配方電極技術、試片精準度 (ISO 認證)、耗材回購率
4164,承業醫,,,醫療設備代理 / 放射腫瘤 / 質子治療,設備租賃服務、直線加速器維護、質子中心入帳進度
4190,佐登-KY,,,美容美體 / 佐登妮絲城堡 / 保養品,觀光工廠人流量、會員回櫃率、跨國通路經營
4306,炎洲,,,膠帶製造 / 房地產開發 / 包裝材料,OPP 膠帶全球市佔、原物料利差、資產活化收益
4414,如興,,,成衣製造 / 牛仔褲代工 / 智慧生產,全球牛仔褲產能、自動化洗水技術、債信與管理風險
4426,利勤,,,立體織物 (3D Spacer) / 鞋材面料,3D 經編技術、運動品牌 (Nike/Adidas) 認證、透氣度規格
4438,廣越,全球羽絨服代工龍頭,全球最大羽絨服代工商之一，Adidas/The North Face 核心夥伴。,羽絨服代工 / 戶外運動服 / 紡織,羽絨充填規格、戶外精品訂單、北半球冬季氣候連動
4439,冠星-KY,,,針織面料 / 棉質布 / 運動機能,胚布染整技術、品牌商庫存去化、永續棉 (BCI) 比例
4440,宜新實業,,,彈性包覆紗 / 差別化纖維 / 機能紡織,物理彈性包覆技術、環保聚酯回收、少量多樣客製化
4441,振大環球,,,成衣代工 / 亞馬遜供應鏈 / 數位打樣,越南/馬達加斯加產能、電商龍頭訂單比重、毛利率表現
4526,東台,,,工具機 / 航太與車用 / 智慧製造,CNC 加工中心機、複合加工技術、半導體設備零件代工
4532,瑞智,全球壓縮機排位前三,全球前四大壓縮機生產商，台灣與大陸空調供應鏈核心。,壓縮機 (BLDC) / 空調與乾衣機,直流無刷馬達技術、全球第四大產能、稀土材料成本
4536,拓凱,全球高階碳纖維應用領導廠,碳纖維網球拍與自行車零件排位全球前二。,複合材料 / 碳纖維 / 自行車與航太,碳纖維預浸布、高階自行車架、波音/空巴次系統認證
4540,全球傳動,,,線性傳動元件 / 滾珠螺桿 / 滑軌,高導程螺桿技術、工業機器人關鍵組件、自動化精度
4545,銘鈺,,,精密機構件 / 硬碟零組件 / 醫療導焦,沖壓模具精度、硬碟讀取頭支架、醫療器材精密組裝
4551,智伸科,全球汽車精密機構件前三,缸內直噴 (GDI) 噴嘴關鍵零件與醫療手術刀具排位領先。,精密機械加工 / 車用 / 醫療 / 運動,汽油高壓泵浦零件、外科手術器械、精密車削良率
4552,力達-KY,,,空氣壓縮機 (Screw/Scroll) / 螺桿機,節能變頻技術、FAD (排氣量) 規格、工業 4.0 智慧供氣
4555,氣立,,,氣壓元件 / 氣壓缸 / 自動化,氣動控制技術、工業 4.0 模組、智慧製造元件規格
4557,永新-KY,,,車用煞車系統 / 總泵與分泵 / 售後 (AM),鋁合金重力鑄造、煞車性能認證、北美 AM 市場滲透
4560,強信-KY,,,工業縫紉機配件 / 刀具與針板 / 自動化,特種鋼材熱處理、精密研磨技術、自動剪線裝置規格
4562,穎漢,,,彎管機製造 / 自動化工作站 / 電機,全球冷彎技術規格、CNC 全自動管件加工、航太與車用
4564,元翎,,,高壓鋼瓶 / 氣體發生器 / 安全氣囊,微型高壓容器技術、充氣鋼瓶 (Charger) 產能、穿戴氣囊
4566,時碩工業,,,精密零件加工 / 航太 / 車用 / 醫療,燃油噴嘴組件、航太發動機葉片加工、骨科器械
4569,六方科-KY,,,精密機械零件 / 車用 / 航太 / 醫療,難削材加工技術、節能車與氫能車組件、半導體設備零件
4571,鈞興-KY,,,齒輪傳動 / 機器人關節 / 電動工具,高精度諧波減速機、螺旋傘齒輪技術、E-Bike 驅動
4572,駐龍,台灣航太結構件供應龍頭,波音 (Boeing) 二級供應商，在結構件加工技術排位全台第一。,航太結構件 / 引擎組件 / 模治具,波音 Tier 1 供應鏈、大型機身零件加工、陽極處理認證
4576,大銀微系統,,,直驅馬達 (DD Motor) / 線性馬達 / 運動控制,高精度奈米級定位、半導體設備關鍵組件、上銀體系
4581,光隆精密-KY,,,商用車零件 / 建築機械 / 金屬加工,廢氣再循環系統 (EGR) 殼體、碟式煞車零件、北美市佔
4583,台灣精銳,全球高階減速機領導廠,行星減速機全球市佔排位極高，為自動化手臂核心組件。,高精密減速機 / 齒輪排 / 機器人,減速機全球市佔、精密齒輪加工 (DIN 4級)、自動化手臂
4585,達明,全球協作機器人排位第二,內建視覺之協作型機器人技術全球前二，僅次於 Universal Robots。,AI 協作機器人 (Cobot) / 視覺辨識,內建 AI 視覺技術、TM Flow 軟體、廣達集團機器人布局
4588,玖鼎電力,,,智慧電表 / 電能管理 / 電網監控,台電智慧電表標案、AMI 系統架構、高階電力計量技術
4590,富田-創,台灣電動車馬達核心零件龍頭,電動車動力系統與馬達轉定子排位全台第一。,動力馬達 / 電動車驅動 / 創新板,特斯拉 (Tesla) 供應鏈、七合一驅動系統、高效率馬達
4720,德淵,,,熱熔膠 (EVA/HM) / 特種化學 / 濾材,生物分解材料技術、電子級 UV 膠、空氣過濾網規格
4722,國精化,,,光固化樹脂 (UV) / 塗料 / 合成樹脂,UV 固化特化品、單體 (Monomer) 研發、3D 列印材料
4736,泰博,台灣血糖測試儀器龍頭,居家醫療器材與血糖試片外銷排位全台第一。,血糖監測 / 血氧儀 / 遠距醫療,貴金屬電極試片、碳堆疊技術、醫院端監測系統
4737,華廣,,,血糖監測系統 / 自動化試片生產,嵌入式生物感測技術、專利貴金屬電極、耗材產能
4739,康普,台灣電池動力材料龍頭,硫酸鎳、硫酸鈷等鋰電池正極材料前驅物排位領先。,電池材料 / 硫酸鎳 / 動力電池,鋰電池前驅體、化學提純技術、三元電池材料規格
4746,台耀,台灣原料藥 (API) 龍頭級,膽固醇磷酸鹽吸收劑等特殊原料藥外銷排位全球前三。,原料藥 (API) / 膽固醇磷酸鹽 / CDMO,降血脂藥原料、高抗癌藥物開發、cGMP 生產線
4755,三福化,,,半導體特化 / 顯影劑回收 (TMAH) / 面板,電子級特用化學品、循環經濟回收純度、精密化學品
4763,材料*-KY,全球絲束與醋片主要供應商,在全球加熱不燃燒菸草與絲束市場排位極高，具定價權。,醋酸纖維絲束 / 菸用過濾 / 膠片,醋片產能擴張、全球絲束報價、生物可降解技術
4764,雙鍵,,,數位印花墨水 / 光引發劑 / 特用化學,數位噴墨配方、環保型光引發劑、皮革/塑料特化
4766,南寶,全球鞋用膠水絕對龍頭,全球市佔第一，全球每三雙運動鞋就有一雙使用南寶膠。,鞋用膠 / 碳纖維複合材 / 塗料,綠色接著劑、運動鞋品牌認證、碳纖熱塑性加工
4770,上品,全球半導體氟素樹脂 (PFA) 設備龍頭,全球市佔第一，台積電全球建廠唯一指定氟素襯裡設備供應商。,氟素材料 (PFA) / 半導體內襯 / 槽車,半導體級 PFA 管材、高純度藥液儲存、特化供應系統
4771,望隼,,,隱形眼鏡 (ODM) / 拋棄式 / 生技,矽水膠材配方、自動化鑄模成型、中國與日本市場滲透
4807,日成-KY,,,珠寶飾品 / 金屬加工 / ODM,貴金屬精密鑄造、多材質結合技術、泰國生產基地規模
4904,遠傳,台灣電信三雄之一 / 智慧城市應用龍頭,具備最強大的 5G 私網與遠距醫療應用排位。,電信服務 / 雲端資安 / 5G 頻譜,合併亞太電後之用戶 ARPU、AI 智慧節能網路、數位轉型營收
4906,正文,,,網通設備 / WiFi 7 / 低軌衛星,寬頻存取設備、5G Small Cell、天線陣列封裝技術
4912,聯德控股-KY,,,精密沖壓 / AI 伺服器 / 滑軌,(註：校正同 4562 分組，聚焦伺服器機構件)
4915,致伸,全球電腦週邊與鏡頭模組領導廠,電腦輸入裝置 (滑鼠/鍵盤) 全球前三，掌握高階電聲與警用相機排位。,視覺影像 / 聲學模組 / 介面設備,車載影像感測 (CIS) 封裝、專業音響技術、筆電觸控板規格
4916,事欣科,,,工業電腦 (IPC) / 航太與國防 / 遊戲機,美國本土產能、低軌衛星 PCBA、軍規等級電磁防護
4919,新唐,全球微控制器 (MCU) 與 BMC 領導廠,伺服器遠端管理晶片 (BMC) 全球前二，併購 Panasonic 半導體後具備全球級排位。,微控制器 (MCU) / 車用 IC / 感測器,32-bit MCU 規格、電池管理 IC (BMIC)、日本 NTCJ 整合
4927,泰鼎-KY,,,PCB 製造 / 車用與通訊 / 泰國產能,泰國最大 PCB 廠、伺服器板層數、Mini LED 背光基板
4930,燦星網,,,生活家電 / 零售通路 / 旅遊股權,品牌授權經營 (燦坤體系)、小家電產品開發、股利收益
4934,太極,,,太陽能電池 / 碳化矽 (SiC) / 能源,PERC/TOPCon 電池效率、盛新材料 SiC 長晶技術
4935,茂林-KY,,,導光板 (LGP) / 發光鍵盤 / 車載導光,薄型化微結構壓印、發光均勻度 (Uniformity)、IT 與車用佔比
4938,和碩,全球電子代工與通訊產品龍頭級,全球第二大 iPhone 組裝廠，同時具備 5G O-RAN 通訊基站領先地位。,電子組裝 (EMS) / AI 伺服器 / 車用,全球組裝基地佈局、Tesla 內部系統代工、5G O-RAN 設備
4942,嘉彰,,,精密金屬沖壓 / 面板機構件 / 框架,模具設計精度、筆電與顯示器背板、自動化沖壓良率
4943,康控-KY,,,精密機構件 / 聲學組件 / 車用連接器,嵌件模內注塑 (Insert Molding)、矽膠射出技術、車用散熱
4949,有成精密,,,太陽能模組 / 半導體設備維修 / 代理,WINAICO 品牌、離子植入機零組件工程、綠能系統整合
